Ticker,Market,AssetType,Sector
AAPL,US,STOCK,TECH
MSFT,US,STOCK,TECH
NVDA,US,STOCK,TECH
AMD,US,STOCK,TECH
TSLA,US,STOCK,AUTO
AMZN,US,STOCK,CONSUMER
WMT,US,STOCK,CONSUMER
COST,US,STOCK,CONSUMER
HD,US,STOCK,CONSUMER
MCD,US,STOCK,CONSUMER
JPM,US,STOCK,FINANCIAL
BAC,US,STOCK,FINANCIAL
GS,US,STOCK,FINANCIAL
V,US,STOCK,FINANCIAL
MA,US,STOCK,FINANCIAL
XOM,US,STOCK,ENERGY
CVX,US,STOCK,ENERGY
COP,US,STOCK,ENERGY
SPY,US,ETF,MARKET
QQQ,US,ETF,TECH
GLD,US,ETF,COMMODITY
SLV,US,ETF,COMMODITY
GDX,US,ETF,COMMODITY
USO,US,ETF,COMMODITY
DBC,US,ETF,COMMODITY
BTC-USD,GLOBAL,CRYPTO,CRYPTO
ETH-USD,GLOBAL,CRYPTO,CRYPTO
RELIANCE.NS,INDIA,STOCK,ENERGY
TCS.NS,INDIA,STOCK,TECH
INFY.NS,INDIA,STOCK,TECH
HDFCBANK.NS,INDIA,STOCK,FINANCIAL
ICICIBANK.NS,INDIA,STOCK,FINANCIAL
SBIN.NS,INDIA,STOCK,FINANCIAL
BHARTIARTL.NS,INDIA,STOCK,COMMUNICATION
IDEA.NS,INDIA,STOCK,COMMUNICATION
SUZLON.NS,INDIA,STOCK,ENERGY
YESBANK.NS,INDIA,STOCK,FINANCIAL
RVNL.NS,INDIA,STOCK,INFRASTRUCTURE
IRFC.NS,INDIA,STOCK,FINANCIAL
IREDA.NS,INDIA,STOCK,FINANCIAL
CDSL.NS,INDIA,STOCK,FINANCIAL
BSE.NS,INDIA,STOCK,FINANCIAL
BEL.NS,INDIA,STOCK,DEFENSE
HAL.NS,INDIA,STOCK,DEFENSE
COCHINSHIP.NS,INDIA,STOCK,DEFENSE
KPITTECH.NS,INDIA,STOCK,TECH
PERSISTENT.NS,INDIA,STOCK,TECH
NMDC.NS,INDIA,STOCK,METALS
SAIL.NS,INDIA,STOCK,METALS
LT.NS,INDIA,STOCK,INDUSTRIAL
^VIX,US,INDEX,VOLATILITY
RKLB,US,STOCK,SPACE
IRDM,US,STOCK,SPACE
LMT,US,STOCK,DEFENSE
NOC,US,STOCK,DEFENSE
RTX,US,STOCK,DEFENSE
