Ticker,Date,Pattern,PrimarySignal_x,MarketRegime,AlphaRank,Trades,WinRate,AlphaScore,TrustLevel,ConfidenceScore,PValue,ValidationStatus,TrustRank,PatternFamily,PrimarySignal_y,FinalScore,Close,CrossAssetPattern,Events,AvgBounce5D,RecoveryRate5D,AvgBounce10D,RecoveryRate10D,BounceScore,FamilyEvents,FamilyAvgBounce5D,FamilyAvgBounce10D,FamilyRecoveryRate5D,FamilyRecoveryRate10D,FamilyBounceScore,LiquidityStatus,UsedBounceSource,UsedEvents,UsedAvgBounce5D,UsedRecoveryRate5D,UsedAvgBounce10D,UsedRecoveryRate10D,UsedBounceScore,PassEvents,PassRecovery,PassAvgBounce,PassScore,PassLiquidity
BEL,2026-06-18,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,BULL,72,2968,52.29,12.8763,INSTITUTIONAL,95.5,0.0,VALIDATED,5,MOMENTUM|BULL|VOLATILE,NONE,8.0,428.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
QQQ,2026-06-18,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,BULL,72,2968,52.29,12.8763,INSTITUTIONAL,95.5,0.0,VALIDATED,5,MOMENTUM|BULL|VOLATILE,MOMENTUM,48.0,740.6199951171875,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True
SBIN,2026-06-18,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,BULL,72,2968,52.29,12.8763,INSTITUTIONAL,95.5,0.0,VALIDATED,5,MOMENTUM|BULL|VOLATILE,OVERBOUGHT,18.0,1037.300048828125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
JPM,2026-06-18,OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED,OVERBOUGHT,BULL,77,1954,55.48,12.236,INSTITUTIONAL,96.05,0.0,VALIDATED,5,OVERBOUGHT|BULL|NORMAL,PANIC,58.0,325.2200012207031,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,True
BAC,2026-06-18,OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED,OVERBOUGHT,BULL,77,1954,55.48,12.236,INSTITUTIONAL,96.05,0.0,VALIDATED,5,OVERBOUGHT|BULL|NORMAL,OVERBOUGHT,18.0,56.20000076293945,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
SUZLON,2026-06-18,PANIC|BULL|NORMAL|BULL|VIX_ELEVATED,PANIC,BULL,164,1174,52.13,2.4374,INSTITUTIONAL,95.0,0.00108,VALIDATED,5,PANIC|BULL|NORMAL,NONE,8.0,59.400001525878906,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
YESBANK,2026-06-18,MOMENTUM|BULL|NORMAL|BULL|VIX_ELEVATED,MOMENTUM,BULL,195,1770,52.15,1.1882,INSTITUTIONAL,95.49,2e-06,VALIDATED,5,MOMENTUM|BULL|NORMAL,NONE,8.0,25.309999465942383,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
AAPL,2026-06-18,MOMENTUM|BULL|NORMAL|BULL|VIX_ELEVATED,MOMENTUM,BULL,195,1770,52.15,1.1882,INSTITUTIONAL,95.49,2e-06,VALIDATED,5,MOMENTUM|BULL|NORMAL,NONE,8.0,298.010009765625,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIQUID,NONE,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
RKLB,2026-06-18,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,PANIC,HIGH_VOLATILITY,47,1696,46.76,19.8121,HIGH,94.65,0.0,VALIDATED,4,PANIC|HIGH_VOLATILITY|VOLATILE,NONE,15.0,107.23999786376952,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,1008.0,0.92,47.52,1.29,46.83,59.74,5851.0,0.6164285714285713,1.092142857142857,49.779999999999994,50.510714285714286,61.43285714285714,LIQUID,EXACT_PATTERN,1008.0,0.92,47.52,1.29,46.83,59.74,True,False,True,False,True
ETH-USD,2026-06-18,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,PANIC,HIGH_VOLATILITY,47,1696,46.76,19.8121,HIGH,94.65,0.0,VALIDATED,4,PANIC|HIGH_VOLATILITY|VOLATILE,MOMENTUM,55.0,1732.6500244140625,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,1008.0,0.92,47.52,1.29,46.83,59.74,5851.0,0.6164285714285713,1.092142857142857,49.779999999999994,50.510714285714286,61.43285714285714,LIQUID,EXACT_PATTERN,1008.0,0.92,47.52,1.29,46.83,59.74,True,False,True,True,True
