InstitutionalRank,Pattern,Ticker,Appearances,AvgReturn10D,SurvivalScore,TickerAppearances,TickerAvgReturn10D,TickerWinRate,TickerPatternScore
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,IREDA,858,4.13,68.18,1,13.6,100.0,236.0
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,RKLB,858,4.13,68.18,6,13.5,100.0,235.0
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,GDX,858,4.13,68.18,15,13.88,93.33,232.13
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,AMZN,858,4.13,68.18,14,12.27,100.0,222.7
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,BHARTIARTL,858,4.13,68.18,8,11.52,100.0,215.2
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,RELIANCE,858,4.13,68.18,11,11.74,90.91,208.31
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,BSE,858,4.13,68.18,6,12.21,83.33,205.43
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,CDSL,858,4.13,68.18,5,10.46,100.0,204.6
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,COP,858,4.13,68.18,22,10.34,86.36,189.76
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,BTC-USD,858,4.13,68.18,10,9.85,90.0,188.5
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,INFY,858,4.13,68.18,11,8.45,90.91,175.41
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,AMD,858,4.13,68.18,28,9.75,75.0,172.5
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,QQQ,858,4.13,68.18,12,7.3,91.67,164.67
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,SLV,858,4.13,68.18,8,7.64,87.5,163.9
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,NVDA,858,4.13,68.18,32,8.14,81.25,162.65
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,IDEA,858,4.13,68.18,17,8.17,76.47,158.17
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,TSLA,858,4.13,68.18,33,8.42,72.73,156.93
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,SPY,858,4.13,68.18,14,6.3,92.86,155.86
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,ETH-USD,858,4.13,68.18,14,7.55,78.57,154.07
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,LMT,858,4.13,68.18,11,8.09,72.73,153.63
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,WMT,858,4.13,68.18,7,6.24,85.71,148.11
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,MA,858,4.13,68.18,23,5.64,86.96,143.36
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,CVX,858,4.13,68.18,18,6.89,72.22,141.12
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,V,858,4.13,68.18,22,5.02,90.91,141.11
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,BEL,858,4.13,68.18,8,6.09,75.0,135.9
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,HD,858,4.13,68.18,16,5.06,81.25,131.85
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,TCS,858,4.13,68.18,14,3.65,92.86,129.36
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,KPITTECH,858,4.13,68.18,12,5.3,75.0,128.0
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,XOM,858,4.13,68.18,16,5.83,68.75,127.05
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,MCD,858,4.13,68.18,14,5.53,71.43,126.73
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,NOC,858,4.13,68.18,16,5.04,75.0,125.4
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,HDFCBANK,858,4.13,68.18,10,5.26,70.0,122.6
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,AAPL,858,4.13,68.18,18,4.26,77.78,120.38
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,MSFT,858,4.13,68.18,13,4.11,69.23,110.33
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,COCHINSHIP,858,4.13,68.18,12,4.22,66.67,108.87
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,YESBANK,858,4.13,68.18,17,5.58,52.94,108.74
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,RTX,858,4.13,68.18,21,2.94,66.67,96.07
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,COST,858,4.13,68.18,12,2.87,66.67,95.37
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,HAL,858,4.13,68.18,5,3.46,60.0,94.6
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,BAC,858,4.13,68.18,33,2.95,63.64,93.14
1,PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,GS,858,4.13,68.18,28,3.37,53.57,87.27
