Ticker,Date,Pattern,PrimarySignal,MarketRegime,AlphaRank,Trades,WinRate,AlphaScore,Confidence,Recommendation
AMD,2026-06-12,MOMENTUM|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,HIGH_VOLATILITY,53,760,45.53,5.8784,MEDIUM,WATCH
TSLA,2026-06-12,MOMENTUM|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,HIGH_VOLATILITY,53,760,45.53,5.8784,MEDIUM,WATCH
BAC,2026-06-12,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,BULL,110,1942,51.65,2.2949,LOW,NEUTRAL
JPM,2026-06-12,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,BULL,110,1942,51.65,2.2949,LOW,NEUTRAL
GS,2026-06-12,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,BULL,110,1942,51.65,2.2949,LOW,NEUTRAL
V,2026-06-12,MOMENTUM|SIDEWAYS||BULL|VIX_ELEVATED,MOMENTUM,SIDEWAYS,153,682,51.17,0.6572,LOW,NEUTRAL
AMZN,2026-06-12,PANIC|SIDEWAYS||BULL|VIX_ELEVATED,PANIC,SIDEWAYS,161,705,51.21,0.5046,LOW,NEUTRAL
AAPL,2026-06-12,PANIC|BULL|VOLATILE|BULL|VIX_ELEVATED,PANIC,BULL,174,932,48.28,0.2174,LOW,NEUTRAL
NFLX,2026-06-12,PANIC|BEAR||BULL|VIX_ELEVATED,PANIC,BEAR,189,247,45.34,-0.1849,AVOID,AVOID
JNJ,2026-06-12,MOMENTUM|BULL||BULL|VIX_ELEVATED,MOMENTUM,BULL,203,1231,50.12,-0.5871,AVOID,AVOID
