Ticker,PrimarySignal,FinalScore,Pattern,ScorePass,InstitutionalPass,Events,WinRate10D,AvgReturn10D,EventPass,FinalStage,FailReasons
JPM,PANIC,58.0,OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED,True,True,57,39.29,-0.99,False,FAILED_EVENT_VALIDATION,WinRate10D too low: 39.29 < 55.0; AvgReturn10D too low: -0.99 <= 0.0
GDX,PANIC,65.0,,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
IRDM,PANIC,65.0,,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
SLV,PANIC,65.0,,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
^VIX,PANIC,65.0,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
LMT,PANIC,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
MCD,PANIC,60.0,PANIC|BEAR|NORMAL|BULL|VIX_ELEVATED,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
NOC,PANIC,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
INFY,PANIC,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
PERSISTENT,PANIC,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
RELIANCE,PANIC,60.0,,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
RVNL,PANIC,60.0,,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
TCS,PANIC,60.0,,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
AMD,MOMENTUM,55.0,MOMENTUM|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
COP,PANIC,55.0,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,True,False,0,0.0,0.0,False,FAILED_INSTITUTIONAL,No institutional match
