Date,Ticker,Close,Daily Return,RSI,MA50,MA200,RollingVol20,MACD,MACD_Signal,MACD_Hist,Panic,Momentum,Volatility,RSI_Overbought,RSI_Oversold,MarketRegime,PrimarySignal,PatternBase,BaseScore,PatternKey,ScoreAdjustment,FinalScore,Future Close 5D,Future Return 5D,Success
2010-01-06,AAPL,7.534643173217773,-0.0159063244335151,,,,,-0.0078470467729623,-0.0014007445255883,-0.0064463022473739,PANIC,,VOLATILE,,,UNKNOWN,PANIC,PANIC|UNKNOWN|VOLATILE,50,,0.0,50.0,7.523213863372803,-0.0015169012761741254,False
2010-01-12,AAPL,7.418570995330811,-0.0113751264545448,,,,,-0.0365302501595055,-0.0157505484358626,-0.0207797017236428,PANIC,,,,,UNKNOWN,PANIC,PANIC|UNKNOWN|,50,,0.0,50.0,7.56178617477417,0.019304955028872403,True
2010-01-15,AAPL,7.354642868041992,-0.0167120278608599,,,,,-0.0526920658130629,-0.0298198403632839,-0.022872225449779,PANIC,,VOLATILE,,,UNKNOWN,PANIC,PANIC|UNKNOWN|VOLATILE,50,,0.0,50.0,7.252500057220459,-0.013888208122976666,False
2010-01-20,AAPL,7.56178617477417,-0.0153924031519184,,,,,-0.0314183793130977,-0.031081090592275,-0.0003372887208227,PANIC,,VOLATILE,,,UNKNOWN,PANIC,PANIC|UNKNOWN|VOLATILE,50,,0.0,50.0,7.424285888671875,-0.01818357236296771,False
2010-01-21,AAPL,7.431070804595947,-0.0172863087049834,,,,,-0.0381297154722339,-0.0324908155682668,-0.0056388999039671,PANIC,,VOLATILE,,,UNKNOWN,PANIC,PANIC|UNKNOWN|VOLATILE,50,,0.0,50.0,7.117499828338623,-0.04219728010980433,False
2010-01-22,AAPL,7.0625,-0.0495986129439104,31.47220570703881,,,,-0.0723550177815219,-0.0404636560109178,-0.0318913617706041,PANIC,,VOLATILE,,,UNKNOWN,PANIC,PANIC|UNKNOWN|VOLATILE,50,,0.0,50.0,6.859285831451416,-0.028773687582100388,False
2010-01-28,AAPL,7.117499828338623,-0.0413219621299002,40.338874763584904,,,,-0.0937379386387045,-0.0665001471357077,-0.0272377915029967,PANIC,,VOLATILE,,,UNKNOWN,PANIC,PANIC|UNKNOWN|VOLATILE,50,,0.0,50.0,6.85892915725708,-0.036328862285606674,False
2010-01-29,AAPL,6.859285831451416,-0.0362787499985763,34.50047299345536,,,,-0.1274905947343114,-0.0786982366554285,-0.0487923580788829,PANIC,,VOLATILE,,,UNKNOWN,PANIC,PANIC|UNKNOWN|VOLATILE,50,,0.0,50.0,6.980713844299316,0.017702719471336913,True
2010-02-04,AAPL,6.85892915725708,-0.036038636950781,37.621087831030785,,,0.024267094189797,-0.164362551534607,-0.1234672310683428,-0.0408953204662641,PANIC,,VOLATILE,,,UNKNOWN,PANIC,PANIC|UNKNOWN|VOLATILE,50,,0.0,50.0,7.0953569412231445,0.03447007230216285,True
2010-02-23,AAPL,7.0378570556640625,-0.0167647784168449,51.77410211223123,,,0.0186594544233629,-0.0582395087127931,-0.0847223355830831,0.0264828268702899,PANIC,,VOLATILE,,,UNKNOWN,PANIC,PANIC|UNKNOWN|VOLATILE,50,,0.0,50.0,7.458929061889648,0.05982957637463061,True
2010-03-15,AAPL,7.994286060333252,-0.012180036804252,91.09883791693014,,,0.0128244482047969,0.2162221292309016,0.1417958039007318,0.0744263253301698,PANIC,,,OVERBOUGHT,,UNKNOWN,PANIC,PANIC|UNKNOWN|,50,,0.0,50.0,8.026785850524902,0.004065377439132519,True
