DecayRank,Pattern,Appearances,FirstSeen,LastSeen,FirstAvgReturn,LatestAvgReturn,ReturnChange,DecayLabel
1,OVERBOUGHT|UNKNOWN||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,2.813,2.813,0.0,STABLE
2,PANIC|SIDEWAYS||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,2.311,2.311,0.0,STABLE
3,MOMENTUM|HIGH_VOLATILITY|VOLATILE|UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,2.114,2.114,0.0,STABLE
4,PANIC|HIGH_VOLATILITY|VOLATILE|UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,2.078,2.078,0.0,STABLE
5,PANIC|HIGH_VOLATILITY||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,1.953,1.953,0.0,STABLE
6,OVERBOUGHT|HIGH_VOLATILITY||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,1.915,1.915,0.0,STABLE
7,OVERSOLD|HIGH_VOLATILITY||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,1.819,1.819,0.0,STABLE
8,MOMENTUM|SIDEWAYS||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,1.736,1.736,0.0,STABLE
9,OVERSOLD|SIDEWAYS||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,1.575,1.575,0.0,STABLE
10,MOMENTUM|SIDEWAYS|VOLATILE|UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,1.554,1.554,0.0,STABLE
11,PANIC|UNKNOWN||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,1.549,1.549,0.0,STABLE
12,MOMENTUM|HIGH_VOLATILITY||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,1.507,1.507,0.0,STABLE
13,PANIC|SIDEWAYS|VOLATILE|UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,1.467,1.467,0.0,STABLE
14,PANIC|BULL|VOLATILE|UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,1.411,1.411,0.0,STABLE
15,OVERSOLD|UNKNOWN||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,1.384,1.384,0.0,STABLE
16,OVERBOUGHT|BULL||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,1.271,1.271,0.0,STABLE
17,PANIC|BULL||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,1.207,1.207,0.0,STABLE
18,MOMENTUM|BULL|VOLATILE|UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,1.195,1.195,0.0,STABLE
19,OVERBOUGHT|SIDEWAYS||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,1.15,1.15,0.0,STABLE
20,PANIC|UNKNOWN|VOLATILE|UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,1.033,1.033,0.0,STABLE
21,PANIC|BEAR|VOLATILE|UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,0.951,0.951,0.0,STABLE
22,OVERSOLD|BEAR||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,0.934,0.934,0.0,STABLE
23,MOMENTUM|BULL||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,0.749,0.749,0.0,STABLE
24,MOMENTUM|UNKNOWN|VOLATILE|UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,0.681,0.681,0.0,STABLE
25,MOMENTUM|UNKNOWN||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,0.488,0.488,0.0,STABLE
26,MOMENTUM|BEAR||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,0.203,0.203,0.0,STABLE
27,MOMENTUM|BEAR|VOLATILE|UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,0.151,0.151,0.0,STABLE
28,PANIC|BEAR||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,0.11,0.11,0.0,STABLE
29,OVERBOUGHT|BEAR||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,0.062,0.062,0.0,STABLE
30,OVERSOLD|BULL||UNKNOWN|UNKNOWN,1,2026-06-14,2026-06-14,-0.463,-0.463,0.0,STABLE
