Pattern,Trades,UniqueTickers,TopTicker,TopTickerPct,ConfidenceScore
PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,858.0,53,^VIX,4.66,96.82
PANIC|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_EXTREME,531.0,52,SPY,5.27,96.55
OVERSOLD|SIDEWAYS|NORMAL|SIDEWAYS|VIX_ELEVATED,524.0,51,HD,8.59,96.22
PANIC|SIDEWAYS|VOLATILE|BULL|VIX_HIGH,717.0,53,AMZN,4.46,96.22
PANIC|BULL|VOLATILE|BULL|VIX_HIGH,683.0,53,AAPL,4.25,96.21
MOMENTUM|SIDEWAYS|NORMAL|SIDEWAYS|VIX_HIGH,678.0,54,SPY,6.05,96.16
MOMENTUM|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,917.0,53,NVDA,3.82,96.13
MOMENTUM|BEAR|VOLATILE|SIDEWAYS|VIX_HIGH,565.0,53,SUZLON,4.78,96.09
PANIC|SIDEWAYS|NORMAL|SIDEWAYS|VIX_HIGH,786.0,53,SPY,6.62,96.07
OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED,1954.0,53,QQQ,5.83,96.05
MOMENTUM|SIDEWAYS|NORMAL|SIDEWAYS|VIX_ELEVATED,844.0,54,SPY,5.45,96.0
MOMENTUM|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_HIGH,1303.0,56,NMDC,4.53,95.99
PANIC|BULL|NORMAL|SIDEWAYS|VIX_ELEVATED,515.0,50,V,6.41,95.96
MOMENTUM|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_ELEVATED,1484.0,55,AMZN,3.64,95.85
MOMENTUM|BULL|NORMAL|SIDEWAYS|VIX_ELEVATED,668.0,50,MCD,4.34,95.79
PANIC|BULL|VOLATILE|SIDEWAYS|VIX_HIGH,686.0,52,COP,4.66,95.76
MOMENTUM|BULL|VOLATILE|BULL|VIX_HIGH,1078.0,52,NVDA,3.9,95.73
MOMENTUM|BULL|VOLATILE|SIDEWAYS|VIX_ELEVATED,1166.0,50,V,3.69,95.69
PANIC|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_HIGH,1938.0,55,QQQ,4.39,95.68
PANIC|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_ELEVATED,1632.0,54,AMD,3.55,95.67
PANIC|SIDEWAYS|NORMAL|SIDEWAYS|VIX_ELEVATED,905.0,53,SPY,4.31,95.67
OVERBOUGHT|BULL|NORMAL|SIDEWAYS|VIX_ELEVATED,527.0,45,MCD,6.07,95.65
PANIC|BULL|VOLATILE|SIDEWAYS|VIX_ELEVATED,661.0,50,AMZN,3.93,95.64
MOMENTUM|BULL|VOLATILE|SIDEWAYS|VIX_HIGH,839.0,52,COP,4.77,95.6
OVERBOUGHT|BULL|NORMAL|BULL|VIX_LOW,4174.0,54,QQQ,7.28,95.6
PANIC|BULL|NORMAL|BULL|VIX_LOW,1596.0,53,BAC,3.76,95.59
MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,2968.0,53,NVDA,4.38,95.5
MOMENTUM|BULL|NORMAL|BULL|VIX_ELEVATED,1770.0,53,QQQ,4.41,95.49
MOMENTUM|BULL|NORMAL|BULL|VIX_LOW,2697.0,54,QQQ,4.12,95.41
MOMENTUM|BEAR|VOLATILE|SIDEWAYS|VIX_ELEVATED,525.0,52,SAIL,5.33,95.39
MOMENTUM|BULL|VOLATILE|BULL|VIX_LOW,4026.0,55,NVDA,4.77,95.39
MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_LOW,2339.0,54,SBIN,4.66,95.37
MOMENTUM|SIDEWAYS|NORMAL|BULL|VIX_LOW,1447.0,52,USO,4.91,95.35
PANIC|BULL|VOLATILE|BULL|VIX_ELEVATED,1478.0,54,NVDA,4.53,95.33
MOMENTUM|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_HIGH,1236.0,48,^VIX,15.7,95.32
PANIC|BULL|VOLATILE|BULL|VIX_LOW,1768.0,54,NVDA,4.98,95.31
PANIC|BEAR|VOLATILE|SIDEWAYS|VIX_HIGH,941.0,54,IDEA,3.4,95.29
PANIC|BEAR|VOLATILE|SIDEWAYS|VIX_ELEVATED,860.0,53,SAIL,6.4,95.26
PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_LOW,2005.0,34,^VIX,27.48,95.25
PANIC|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_ELEVATED,1023.0,39,^VIX,23.46,95.23
PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_HIGH,736.0,40,^VIX,12.77,95.22
PANIC|SIDEWAYS|VOLATILE|BULL|VIX_LOW,2094.0,54,SBIN,4.54,95.21
PANIC|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_HIGH,1216.0,46,^VIX,13.49,95.2
MOMENTUM|BEAR|VOLATILE|BULL|VIX_LOW,765.0,49,GDX,8.89,95.16
MOMENTUM|HIGH_VOLATILITY|VOLATILE|BULL|VIX_LOW,2085.0,35,^VIX,17.75,95.1
MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_HIGH,554.0,52,SBIN,5.6,95.09
MOMENTUM|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_ELEVATED,1066.0,41,^VIX,19.7,95.04
OVERBOUGHT|SIDEWAYS|NORMAL|BULL|VIX_LOW,1008.0,50,MCD,7.44,95.01
PANIC|BULL|NORMAL|BULL|VIX_ELEVATED,1174.0,53,JPM,4.34,95.0
PANIC|HIGH_VOLATILITY|VOLATILE|BEAR|VIX_HIGH,536.0,39,^VIX,13.06,94.85
PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,2033.0,53,SBIN,3.94,94.83
PANIC|BEAR|VOLATILE|BEAR|VIX_HIGH,656.0,52,AAPL,4.88,94.77
MOMENTUM|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,1792.0,41,^VIX,17.52,94.74
PANIC|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,1202.0,54,CVX,3.58,94.72
PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,1696.0,42,^VIX,21.52,94.65
MOMENTUM|HIGH_VOLATILITY|VOLATILE|BULL|VIX_HIGH,763.0,42,^VIX,14.02,94.63
PANIC|SIDEWAYS|NORMAL|BULL|VIX_LOW,1425.0,54,USO,4.28,94.2
MOMENTUM|BULL|NORMAL|BULL|VIX_HIGH,445.0,50,SPY,5.84,91.73
PANIC|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_EXTREME,443.0,46,^VIX,7.45,91.38
MOMENTUM|HIGH_VOLATILITY|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,454.0,20,ETH-USD,42.95,91.01
OVERBOUGHT|BULL|NORMAL|BULL|VIX_HIGH,432.0,50,DBC,6.71,90.37
MOMENTUM|HIGH_VOLATILITY|VOLATILE|BEAR|VIX_HIGH,440.0,36,^VIX,11.36,90.18
PANIC|SIDEWAYS|VOLATILE|BEAR|VIX_HIGH,426.0,51,BEL,4.69,89.59
PANIC|BULL|NORMAL|BULL|VIX_HIGH,414.0,52,V,4.35,89.21
PANIC|INSUFFICIENT_HISTORY|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_HIGH,424.0,45,BEL,4.01,89.02
MOMENTUM|BULL|NORMAL|SIDEWAYS|VIX_HIGH,412.0,49,LMT,5.34,88.83
PANIC|BULL|NORMAL|SIDEWAYS|VIX_HIGH,409.0,49,LMT,4.65,88.4
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_HIGH,408.0,50,GS,5.88,88.15
MOMENTUM|INSUFFICIENT_HISTORY|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_HIGH,399.0,45,LT,4.01,87.9
PANIC|BEAR|VOLATILE|BEAR|VIX_EXTREME,382.0,49,SPY,5.5,87.45
PANIC|BEAR|NORMAL|SIDEWAYS|VIX_HIGH,395.0,51,GDX,4.56,87.0
OVERSOLD|BEAR|NORMAL|SIDEWAYS|VIX_ELEVATED,400.0,47,GLD,7.25,86.57
PANIC|HIGH_VOLATILITY|NORMAL|BULL|VIX_LOW,384.0,34,^VIX,16.41,86.22
PANIC|HIGH_VOLATILITY|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,377.0,20,ETH-USD,45.36,86.08
PANIC|SIDEWAYS|NORMAL|BULL|VIX_HIGH,356.0,51,BHARTIARTL,6.74,83.5
PANIC|INSUFFICIENT_HISTORY|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_EXTREME,334.0,45,NVDA,4.19,82.47
MOMENTUM|HIGH_VOLATILITY|NORMAL|BULL|VIX_LOW,341.0,34,^VIX,16.13,82.3
OVERBOUGHT|BULL|NORMAL|SIDEWAYS|VIX_HIGH,316.0,46,GLD,6.96,82.08
MOMENTUM|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_EXTREME,318.0,50,SLV,4.4,81.62
OVERBOUGHT|SIDEWAYS|NORMAL|SIDEWAYS|VIX_HIGH,284.0,51,ICICIBANK,4.23,79.3
OVERBOUGHT|INSUFFICIENT_HISTORY|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_ELEVATED,274.0,34,QQQ,7.66,78.86
PANIC|HIGH_VOLATILITY|NORMAL|BULL|VIX_ELEVATED,293.0,33,^VIX,11.95,78.59
MOMENTUM|BULL|VOLATILE|SIDEWAYS|VIX_LOW,276.0,46,IRDM,6.88,77.94
PANIC|BEAR|VOLATILE|BULL|VIX_HIGH,291.0,47,YESBANK,7.56,77.75
OVERBOUGHT|INSUFFICIENT_HISTORY|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_HIGH,265.0,39,GLD,9.81,77.69
PANIC|BEAR|VOLATILE|SIDEWAYS|VIX_EXTREME,273.0,47,JPM,5.49,77.33
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_HIGH,249.0,49,NMDC,4.42,75.78
PANIC|SIDEWAYS|VOLATILE|BEAR|VIX_EXTREME,241.0,45,GDX,5.81,75.34
MOMENTUM|SIDEWAYS|NORMAL|SIDEWAYS|VIX_LOW,249.0,44,AAPL,5.62,75.17
MOMENTUM|SIDEWAYS|NORMAL|BULL|VIX_HIGH,258.0,49,NOC,5.43,75.14
PANIC|BEAR|NORMAL|BEAR|VIX_HIGH,229.0,49,SPY,10.04,74.34
OVERSOLD|BEAR|NORMAL|SIDEWAYS|VIX_HIGH,225.0,48,TCS,8.0,74.31
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_EXTREME,205.0,45,RTX,5.85,73.13
OVERBOUGHT|HIGH_VOLATILITY|NORMAL|BULL|VIX_LOW,216.0,25,AMD,10.65,73.02
MOMENTUM|SIDEWAYS|NORMAL|BEAR|VIX_HIGH,208.0,46,GLD,6.25,72.53
MOMENTUM|BULL|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,210.0,24,BTC-USD,20.95,71.99
PANIC|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_HIGH,196.0,38,^VIX,8.16,71.55
MOMENTUM|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_HIGH,200.0,40,AMD,8.0,71.43
MOMENTUM|SIDEWAYS|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,202.0,25,BTC-USD,23.27,71.43
MOMENTUM|BEAR|NORMAL|BEAR|VIX_HIGH,194.0,48,DBC,6.7,71.38
MOMENTUM|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_LOW,198.0,24,^VIX,21.21,71.14
MOMENTUM|BULL|VOLATILE|SIDEWAYS|VIX_EXTREME,181.0,42,CVX,6.08,70.17
PANIC|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_LOW,178.0,23,^VIX,36.52,69.52
PANIC|BULL|VOLATILE|SIDEWAYS|VIX_EXTREME,145.0,39,V,6.21,68.5
PANIC|SIDEWAYS|NORMAL|SIDEWAYS|VIX_EXTREME,137.0,45,SPY,5.84,68.26
PANIC|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_ELEVATED,166.0,32,^VIX,12.65,68.17
PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_HIGH,144.0,31,^VIX,14.58,67.98
MOMENTUM|SIDEWAYS|VOLATILE|BEAR|VIX_EXTREME,128.0,39,LMT,6.25,67.35
MOMENTUM|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_ELEVATED,148.0,33,AMD,9.46,67.24
PANIC|HIGH_VOLATILITY|NORMAL|BULL|VIX_HIGH,146.0,38,IDEA,8.22,66.95
OVERBOUGHT|HIGH_VOLATILITY|NORMAL|BULL|VIX_ELEVATED,130.0,27,AMD,10.77,66.25
PANIC|BEAR|NORMAL|BEAR|VIX_EXTREME,110.0,39,GS,7.27,66.07
MOMENTUM|SIDEWAYS|NORMAL|SIDEWAYS|VIX_EXTREME,103.0,43,SPY,7.77,65.62
MOMENTUM|BEAR|VOLATILE|SIDEWAYS|VIX_EXTREME,102.0,38,LT,6.86,65.12
PANIC|HIGH_VOLATILITY|NORMAL|HIGH_VOL|VIX_EXTREME,101.0,45,IDEA,7.92,64.21
OVERSOLD|SIDEWAYS|NORMAL|SIDEWAYS|VIX_EXTREME,83.0,31,MCD,12.05,63.99
