CrossAssetPattern,Sector,Appearances,AvgReturn10D,WinRate,PatternSectorScore
MOMENTUM|BEAR|NORMAL|BEAR|VIX_ELEVATED,DEFENSE,1,4.769543941794042,100.0,147.6954394179404
MOMENTUM|BEAR|NORMAL|BEAR|VIX_ELEVATED,FINANCIAL,7,5.017567797096298,85.71428571428571,135.8899636852487
MOMENTUM|BEAR|NORMAL|BEAR|VIX_ELEVATED,TECH,1,3.071088022530348,100.0,130.71088022530347
MOMENTUM|BEAR|NORMAL|BEAR|VIX_ELEVATED,MARKET,2,2.879937283542533,100.0,128.79937283542534
MOMENTUM|BEAR|NORMAL|BEAR|VIX_ELEVATED,ENERGY,1,0.211887967049541,100.0,102.1188796704954
MOMENTUM|BEAR|NORMAL|BEAR|VIX_ELEVATED,CONSUMER,2,-11.145435759730912,0.0,-111.45435759730913
MOMENTUM|BEAR|NORMAL|BEAR|VIX_EXTREME,AUTO,1,15.006147049566504,100.0,250.06147049566505
MOMENTUM|BEAR|NORMAL|BEAR|VIX_EXTREME,CONSUMER,8,3.468840003155324,75.0,109.68840003155324
MOMENTUM|BEAR|NORMAL|BEAR|VIX_EXTREME,MARKET,3,0.6339860380908554,66.66666666666666,73.00652704757522
MOMENTUM|BEAR|NORMAL|BEAR|VIX_EXTREME,TECH,8,0.3610225286824238,62.5,66.11022528682423
MOMENTUM|BEAR|NORMAL|BEAR|VIX_EXTREME,FINANCIAL,7,1.8763689505869652,42.857142857142854,61.62083236301251
MOMENTUM|BEAR|NORMAL|BEAR|VIX_EXTREME,COMMODITY,6,-0.7548101210501478,50.0,42.45189878949852
MOMENTUM|BEAR|NORMAL|BEAR|VIX_EXTREME,DEFENSE,3,-0.5689254686911377,33.33333333333333,27.644078646421953
MOMENTUM|BEAR|NORMAL|BEAR|VIX_EXTREME,CRYPTO,4,-6.284895619434777,75.0,12.151043805652229
MOMENTUM|BEAR|NORMAL|BEAR|VIX_EXTREME,ENERGY,1,-0.7846912164284057,0.0,-7.846912164284056
MOMENTUM|BEAR|NORMAL|BEAR|VIX_EXTREME,SPACE,3,-6.741563758925484,0.0,-67.41563758925484
MOMENTUM|BEAR|NORMAL|BEAR|VIX_HIGH,SPACE,2,15.064184532131708,100.0,250.64184532131708
MOMENTUM|BEAR|NORMAL|BEAR|VIX_HIGH,ENERGY,8,6.74517005475846,87.5,154.9517005475846
MOMENTUM|BEAR|NORMAL|BEAR|VIX_HIGH,DEFENSE,8,4.160220330697331,87.5,129.1022033069733
MOMENTUM|BEAR|NORMAL|BEAR|VIX_HIGH,CRYPTO,4,4.317611468848711,75.0,118.1761146884871
MOMENTUM|BEAR|NORMAL|BEAR|VIX_HIGH,MARKET,10,1.2753107632215608,80.0,92.7531076322156
MOMENTUM|BEAR|NORMAL|BEAR|VIX_HIGH,FINANCIAL,29,1.1919072642772934,65.51724137931035,77.43631402208328
MOMENTUM|BEAR|NORMAL|BEAR|VIX_HIGH,CONSUMER,13,0.4392153524005083,61.53846153846154,65.93061506246663
MOMENTUM|BEAR|NORMAL|BEAR|VIX_HIGH,COMMODITY,23,0.7650388348259382,56.52173913043478,64.17212747869416
MOMENTUM|BEAR|NORMAL|BEAR|VIX_HIGH,TECH,23,-0.7140000404918482,39.130434782608695,31.990434377690214
MOMENTUM|BEAR|NORMAL|BEAR|VIX_HIGH,AUTO,4,-6.863749095139745,25.0,-43.63749095139745
MOMENTUM|BEAR|NORMAL|BULL|VIX_ELEVATED,SPACE,12,3.466679601775045,58.333333333333336,93.00012935108379
MOMENTUM|BEAR|NORMAL|BULL|VIX_ELEVATED,ENERGY,35,-0.13609794568770056,68.57142857142857,67.21044911455157
MOMENTUM|BEAR|NORMAL|BULL|VIX_ELEVATED,CONSUMER,20,0.19282645643624,65.0,66.9282645643624
MOMENTUM|BEAR|NORMAL|BULL|VIX_ELEVATED,DEFENSE,21,0.8368034225181925,52.38095238095239,60.74898660613431
MOMENTUM|BEAR|NORMAL|BULL|VIX_ELEVATED,CRYPTO,4,0.25125742509229587,50.0,52.51257425092296
MOMENTUM|BEAR|NORMAL|BULL|VIX_ELEVATED,FINANCIAL,29,-0.6907083265301736,48.275862068965516,41.36877880366378
MOMENTUM|BEAR|NORMAL|BULL|VIX_ELEVATED,COMMODITY,55,-1.8676423603259429,41.81818181818181,23.141758214922383
MOMENTUM|BEAR|NORMAL|BULL|VIX_ELEVATED,TECH,20,-2.853069057798783,30.0,1.4693094220121665
MOMENTUM|BEAR|NORMAL|BULL|VIX_ELEVATED,AUTO,2,-2.891376084893696,0.0,-28.91376084893696
MOMENTUM|BEAR|NORMAL|BULL|VIX_EXTREME,DEFENSE,1,8.222398170293722,100.0,182.22398170293724
MOMENTUM|BEAR|NORMAL|BULL|VIX_HIGH,CRYPTO,1,28.084523736702472,100.0,380.8452373670247
MOMENTUM|BEAR|NORMAL|BULL|VIX_HIGH,TECH,2,3.4480901462433677,100.0,134.48090146243368
MOMENTUM|BEAR|NORMAL|BULL|VIX_HIGH,FINANCIAL,7,3.9249574994518186,57.14285714285714,96.39243213737532
MOMENTUM|BEAR|NORMAL|BULL|VIX_HIGH,CONSUMER,5,-0.019358204224706688,40.0,39.806417957752934
MOMENTUM|BEAR|NORMAL|BULL|VIX_HIGH,DEFENSE,18,-0.5834175874459986,33.33333333333333,27.49915745887334
MOMENTUM|BEAR|NORMAL|BULL|VIX_HIGH,ENERGY,12,-2.686435622823008,50.0,23.135643771769917
MOMENTUM|BEAR|NORMAL|BULL|VIX_HIGH,COMMODITY,7,-1.8489840425867903,14.285714285714285,-4.204126140153619
MOMENTUM|BEAR|NORMAL|BULL|VIX_LOW,FINANCIAL,20,2.2656563140912036,70.0,92.65656314091203
MOMENTUM|BEAR|NORMAL|BULL|VIX_LOW,CRYPTO,13,1.2236008683412465,61.53846153846154,73.774470221874
MOMENTUM|BEAR|NORMAL|BULL|VIX_LOW,CONSUMER,29,1.201388099963862,55.172413793103445,67.18629479274206
MOMENTUM|BEAR|NORMAL|BULL|VIX_LOW,DEFENSE,18,0.13636588458683876,61.111111111111114,62.4747699569795
MOMENTUM|BEAR|NORMAL|BULL|VIX_LOW,ENERGY,47,-0.005327301792617923,55.319148936170215,55.265875918244035
MOMENTUM|BEAR|NORMAL|BULL|VIX_LOW,COMMODITY,123,0.04817652929426463,51.21951219512195,51.7012774880646
MOMENTUM|BEAR|NORMAL|BULL|VIX_LOW,AUTO,12,-0.5765430384188487,50.0,44.234569615811516
MOMENTUM|BEAR|NORMAL|BULL|VIX_LOW,TECH,26,-0.9435733325041868,42.30769230769231,32.87195898265044
MOMENTUM|BEAR|NORMAL|BULL|VIX_LOW,SPACE,14,-5.690452144981742,28.57142857142857,-28.333092878388847
MOMENTUM|BEAR|NORMAL|HIGH_VOL|VIX_EXTREME,TECH,1,1.7081287755657666,100.0,117.08128775565767
MOMENTUM|BEAR|NORMAL|HIGH_VOL|VIX_EXTREME,MARKET,1,0.8130073421291172,100.0,108.13007342129117
MOMENTUM|BEAR|NORMAL|HIGH_VOL|VIX_EXTREME,COMMODITY,8,1.2892361674743462,75.0,87.89236167474346
MOMENTUM|BEAR|NORMAL|HIGH_VOL|VIX_EXTREME,ENERGY,3,-0.8171664310764702,33.33333333333333,25.161669022568624
MOMENTUM|BEAR|NORMAL|HIGH_VOL|VIX_EXTREME,DEFENSE,2,-0.9275876520667145,0.0,-9.275876520667145
MOMENTUM|BEAR|NORMAL|HIGH_VOL|VIX_EXTREME,CONSUMER,1,-2.0984364362242403,0.0,-20.984364362242403
MOMENTUM|BEAR|NORMAL|HIGH_VOL|VIX_HIGH,CRYPTO,1,2.647061713031946,100.0,126.47061713031945
MOMENTUM|BEAR|NORMAL|HIGH_VOL|VIX_HIGH,FINANCIAL,4,1.3319448758980639,75.0,88.31944875898064
MOMENTUM|BEAR|NORMAL|HIGH_VOL|VIX_HIGH,TECH,4,-0.1894906626320345,75.0,73.10509337367965
MOMENTUM|BEAR|NORMAL|HIGH_VOL|VIX_HIGH,ENERGY,5,-1.7884675902882226,20.0,2.1153240971177745
MOMENTUM|BEAR|NORMAL|HIGH_VOL|VIX_HIGH,COMMODITY,2,-1.849491360207422,0.0,-18.49491360207422
MOMENTUM|BEAR|NORMAL|HIGH_VOL|VIX_HIGH,MARKET,1,-5.210123574966699,0.0,-52.101235749667
MOMENTUM|BEAR|NORMAL|HIGH_VOL|VIX_HIGH,DEFENSE,2,-5.358587116834672,0.0,-53.58587116834671
MOMENTUM|BEAR|NORMAL|HIGH_VOL|VIX_HIGH,SPACE,2,-6.169822989227649,0.0,-61.69822989227649
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_ELEVATED,ENERGY,37,2.4266351338428063,86.48648648648648,110.75283782491455
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_ELEVATED,CONSUMER,21,0.6743264570234183,66.66666666666666,73.40993123690085
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_ELEVATED,TECH,23,0.7366296785920816,56.52173913043478,63.8880359163556
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_ELEVATED,DEFENSE,18,-0.21392213898385215,50.0,47.860778610161475
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_ELEVATED,CRYPTO,4,-0.38769528947320003,50.0,46.123047105268
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_ELEVATED,COMMODITY,43,-0.7890992947772963,41.86046511627907,33.96947216850611
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_ELEVATED,SPACE,5,-1.8693014009178328,40.0,21.306985990821673
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_ELEVATED,FINANCIAL,32,-1.5489318834216328,34.375,18.885681165783673
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_ELEVATED,AUTO,2,-4.621706465703763,0.0,-46.21706465703763
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_EXTREME,ENERGY,1,19.4676241428732,100.0,294.676241428732
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_EXTREME,CRYPTO,2,7.377772628287289,100.0,173.7777262828729
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_EXTREME,FINANCIAL,1,3.949384467781868,100.0,139.4938446778187
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_EXTREME,CONSUMER,1,2.851514209690411,100.0,128.5151420969041
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_EXTREME,COMMODITY,3,1.724539947769659,33.33333333333333,50.57873281102992
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_EXTREME,DEFENSE,1,-6.035217298944263,0.0,-60.352172989442636
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_HIGH,DEFENSE,5,3.6866221249122773,80.0,116.86622124912277
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_HIGH,TECH,20,4.140426727638418,70.0,111.40426727638418
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_HIGH,CONSUMER,16,3.633492574509854,68.75,105.08492574509853
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_HIGH,ENERGY,14,0.9767924950545356,57.14285714285714,66.91078209340249
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_HIGH,FINANCIAL,22,0.5056947786361549,50.0,55.05694778636155
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_HIGH,COMMODITY,41,0.0832930325272861,53.65853658536586,54.49146691063872
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_HIGH,SPACE,2,-2.792994701870536,50.0,22.070052981294637
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_HIGH,AUTO,1,-2.389230787548212,0.0,-23.892307875482118
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_LOW,TECH,1,2.1276677771900165,100.0,121.27667777190017
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_LOW,FINANCIAL,6,1.6363822187492865,66.66666666666666,83.03048885415953
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_LOW,DEFENSE,4,-1.886184860522556,25.0,6.1381513947744395
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_LOW,SPACE,4,-3.5979467447325812,25.0,-10.97946744732581
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_LOW,CONSUMER,5,-2.3778445869497333,0.0,-23.778445869497332
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_LOW,ENERGY,5,-5.15496521391218,20.0,-31.549652139121804
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_LOW,AUTO,2,-4.185450541388631,0.0,-41.854505413886315
MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_LOW,COMMODITY,3,-5.068406373100764,0.0,-50.68406373100764
MOMENTUM|BEAR|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,CRYPTO,24,0.7216359349941714,54.166666666666664,61.383026016608376
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_ELEVATED,SPACE,3,5.528005225948799,100.0,155.280052259488
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_ELEVATED,COMMODITY,2,3.2033904443013697,100.0,132.03390444301368
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_ELEVATED,FINANCIAL,1,2.7891580686443014,100.0,127.891580686443
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_ELEVATED,MARKET,1,2.468883894969835,100.0,124.68883894969835
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_ELEVATED,DEFENSE,4,4.215150126789858,75.0,117.15150126789858
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_ELEVATED,TECH,1,1.6847384627567643,100.0,116.84738462756764
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_ELEVATED,AUTO,1,-21.20949483707646,0.0,-212.0949483707646
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_EXTREME,ENERGY,21,6.107056808303194,95.23809523809523,156.30866332112717
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_EXTREME,DEFENSE,21,5.158868241626124,90.47619047619048,142.06487289245172
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_EXTREME,MARKET,11,3.5264616527447727,90.9090909090909,126.17370743653863
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_EXTREME,FINANCIAL,34,5.036096631567472,73.52941176470588,123.8903780803806
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_EXTREME,COMMODITY,18,1.4688203532646094,72.22222222222221,86.91042575486831
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_EXTREME,CONSUMER,20,1.3526234595269169,60.0,73.52623459526917
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_EXTREME,TECH,25,0.6904822524453796,52.0,58.9048225244538
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_EXTREME,CRYPTO,4,-1.4477047136679917,25.0,10.522952863320082
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_EXTREME,AUTO,2,-24.00082840535722,0.0,-240.0082840535722
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_HIGH,SPACE,14,10.806130224249273,64.28571428571429,172.347016528207
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_HIGH,DEFENSE,17,1.828268565034912,76.47058823529412,94.75327388564324
