Pattern,TotalTickerAppearances,DistinctTickers,TopTicker,TopTickerAppearances,TopTickerSharePct,DiversityStatus
MOMENTUM|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_HIGH,1303,56,NMDC,59,4.53,BROAD
PANIC|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_HIGH,1938,55,QQQ,85,4.39,BROAD
MOMENTUM|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_ELEVATED,1484,55,AMZN,54,3.64,BROAD
NONE|BULL|NORMAL|BULL|VIX_LOW,15142,54,SPY,923,6.1,BROAD
NONE|SIDEWAYS|NORMAL|SIDEWAYS|VIX_ELEVATED,4850,54,SPY,349,7.2,BROAD
OVERBOUGHT|BULL|NORMAL|BULL|VIX_LOW,4174,54,QQQ,304,7.28,BROAD
NONE|SIDEWAYS|NORMAL|SIDEWAYS|VIX_HIGH,3038,54,SPY,182,5.99,BROAD
PANIC|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_ELEVATED,1632,54,AMD,58,3.55,BROAD
NONE|BEAR|NORMAL|SIDEWAYS|VIX_HIGH,1492,54,DBC,71,4.76,BROAD
MOMENTUM|SIDEWAYS|NORMAL|SIDEWAYS|VIX_ELEVATED,844,54,SPY,46,5.45,BROAD
MOMENTUM|SIDEWAYS|NORMAL|SIDEWAYS|VIX_HIGH,678,54,SPY,41,6.05,BROAD
MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,2969,53,NVDA,131,4.41,BROAD
OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED,1953,53,QQQ,114,5.84,BROAD
MOMENTUM|BULL|NORMAL|BULL|VIX_ELEVATED,1769,53,QQQ,78,4.41,BROAD
PANIC|BULL|NORMAL|BULL|VIX_LOW,1596,53,BAC,60,3.76,BROAD
NONE|BEAR|NORMAL|BEAR|VIX_HIGH,1036,53,SPY,69,6.66,BROAD
MOMENTUM|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,917,53,NVDA,35,3.82,BROAD
PANIC|SIDEWAYS|NORMAL|SIDEWAYS|VIX_ELEVATED,905,53,SPY,39,4.31,BROAD
PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,858,53,^VIX,40,4.66,BROAD
PANIC|SIDEWAYS|NORMAL|SIDEWAYS|VIX_HIGH,786,53,SPY,52,6.62,BROAD
PANIC|SIDEWAYS|VOLATILE|BULL|VIX_HIGH,717,53,AMZN,32,4.46,BROAD
PANIC|BULL|VOLATILE|BULL|VIX_HIGH,683,53,AAPL,29,4.25,BROAD
MOMENTUM|BEAR|VOLATILE|SIDEWAYS|VIX_HIGH,565,53,SUZLON,27,4.78,BROAD
NONE|BULL|NORMAL|BULL|VIX_HIGH,2255,52,SPY,151,6.7,BROAD
NONE|BULL|NORMAL|SIDEWAYS|VIX_HIGH,2116,52,MCD,132,6.24,BROAD
MOMENTUM|BULL|VOLATILE|BULL|VIX_HIGH,1078,52,NVDA,42,3.9,BROAD
MOMENTUM|BULL|VOLATILE|SIDEWAYS|VIX_HIGH,839,52,COP,40,4.77,BROAD
PANIC|BULL|VOLATILE|SIDEWAYS|VIX_HIGH,686,52,COP,32,4.66,BROAD
PANIC|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_EXTREME,531,52,SPY,28,5.27,BROAD
NONE|SIDEWAYS|NORMAL|BEAR|VIX_HIGH,991,51,GLD,62,6.26,BROAD
OVERSOLD|SIDEWAYS|NORMAL|SIDEWAYS|VIX_ELEVATED,524,51,HD,45,8.59,BROAD
NONE|BULL|NORMAL|SIDEWAYS|VIX_ELEVATED,3733,50,LMT,174,4.66,BROAD
MOMENTUM|BULL|VOLATILE|SIDEWAYS|VIX_ELEVATED,1166,50,V,43,3.69,BROAD
OVERBOUGHT|SIDEWAYS|NORMAL|BULL|VIX_LOW,1008,50,MCD,75,7.44,BROAD
MOMENTUM|BULL|NORMAL|SIDEWAYS|VIX_ELEVATED,668,50,MCD,29,4.34,BROAD
PANIC|BULL|VOLATILE|SIDEWAYS|VIX_ELEVATED,661,50,AMZN,26,3.93,BROAD
PANIC|BULL|NORMAL|SIDEWAYS|VIX_ELEVATED,515,50,V,33,6.41,BROAD
NONE|BULL|NORMAL|SIDEWAYS|VIX_LOW,1201,48,MA,73,6.08,BROAD
NONE|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_HIGH,656,47,AMD,47,7.16,BROAD
NONE|INSUFFICIENT_HISTORY|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_HIGH,2192,45,MCD,77,3.51,BROAD
OVERBOUGHT|BULL|NORMAL|SIDEWAYS|VIX_ELEVATED,527,45,MCD,32,6.07,BROAD
NONE|SIDEWAYS|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,536,25,BTC-USD,140,26.12,BROAD
NONE|BULL|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,528,24,BTC-USD,139,26.33,BROAD
