Ticker,LatestSignal,LatestRegime,LatestVolatility,LatestFinalScore,LivePattern,LivePatternSignal,LivePatternRegime,LiveTrustLevel,InstitutionalPattern,TradeDecision,TradeReason,TradeFinalScore,SignalMismatch,RegimeMismatch,PatternMismatch,AuditStatus
AAPL,NONE,BULL,NORMAL,8.0,NONE|BULL|NORMAL|BULL|VIX_ELEVATED,NONE,BULL,UNTRUSTED,,,,,False,False,False,OK
AMD,MOMENTUM,HIGH_VOLATILITY,VOLATILE,55.0,MOMENTUM|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,HIGH_VOLATILITY,HIGH,,,,,False,False,False,OK
AMZN,PANIC,SIDEWAYS,VOLATILE,55.0,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,HIGH,,,,,False,False,False,OK
BAC,MOMENTUM,BULL,VOLATILE,48.0,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,BULL,INSTITUTIONAL,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,,,,False,False,False,OK
COP,MOMENTUM,SIDEWAYS,VOLATILE,45.0,MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,SIDEWAYS,LOW,,,,,False,False,False,OK
COST,NONE,SIDEWAYS,NORMAL,5.0,NONE|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,NONE,SIDEWAYS,UNTRUSTED,,,,,False,False,False,OK
CVX,NONE,SIDEWAYS,NORMAL,5.0,NONE|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,NONE,SIDEWAYS,UNTRUSTED,,,,,False,False,False,OK
DBC,OVERSOLD,SIDEWAYS,NORMAL,25.0,OVERSOLD|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,OVERSOLD,SIDEWAYS,LOW,,,,,False,False,False,OK
GDX,PANIC,HIGH_VOLATILITY,NORMAL,65.0,PANIC|HIGH_VOLATILITY|NORMAL|BULL|VIX_ELEVATED,PANIC,HIGH_VOLATILITY,MEDIUM,,,,,False,False,False,OK
GLD,NONE,SIDEWAYS,NORMAL,5.0,NONE|SIDEWAYS|NORMAL|BULL|VIX_ELEVATED,NONE,SIDEWAYS,UNTRUSTED,,,,,False,False,False,OK
GS,NONE,BULL,NORMAL,8.0,NONE|BULL|NORMAL|BULL|VIX_ELEVATED,NONE,BULL,UNTRUSTED,,,,,False,False,False,OK
HD,PANIC,SIDEWAYS,VOLATILE,55.0,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,PANIC,SIDEWAYS,HIGH,,,,,False,False,False,OK
IRDM,PANIC,HIGH_VOLATILITY,VOLATILE,65.0,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,PANIC,HIGH_VOLATILITY,HIGH,,WATCH,Cross-asset risk is CAUTIOUS. Paper trade only.,65.0,False,False,False,OK
JPM,MOMENTUM,BULL,VOLATILE,48.0,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,MOMENTUM,BULL,INSTITUTIONAL,MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,,,,False,False,False,OK
LMT,PANIC,BEAR,VOLATILE,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,LOW,,,,,False,False,False,OK
MA,PANIC,BEAR,NORMAL,60.0,PANIC|BEAR|NORMAL|BULL|VIX_ELEVATED,PANIC,BEAR,LOW,,,,,False,False,False,OK
MCD,PANIC,BEAR,VOLATILE,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,LOW,,,,,False,False,False,OK
MSFT,PANIC,BEAR,VOLATILE,60.0,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,PANIC,BEAR,LOW,,,,,False,False,False,OK
