Pattern,Appearances,AvgReturn10D,RegimeCount,SurvivalScore,RegimeClass,BEAR_WR,BULL_WR,HIGH_VOLATILITY_WR,INSUFFICIENT_HISTORY_WR,SIDEWAYS_WR
PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,858,4.13,1,68.18,INSTITUTIONAL,,,68.18,,
PANIC|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_EXTREME,531,1.44,1,65.54,INSTITUTIONAL,,,,,65.54
PANIC|BULL|VOLATILE|BULL|VIX_HIGH,677,2.45,1,63.37,INSTITUTIONAL,,63.37,,,
PANIC|SIDEWAYS|VOLATILE|BULL|VIX_HIGH,710,1.93,1,62.82,INSTITUTIONAL,,,,,62.82
OVERSOLD|SIDEWAYS|NORMAL|SIDEWAYS|VIX_ELEVATED,524,1.42,1,62.21,INSTITUTIONAL,,,,,62.21
MOMENTUM|SIDEWAYS|NORMAL|SIDEWAYS|VIX_HIGH,678,1.18,1,61.65,INSTITUTIONAL,,,,,61.65
MOMENTUM|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,917,2.38,1,61.29,INSTITUTIONAL,,,61.29,,
NONE|SIDEWAYS|NORMAL|SIDEWAYS|VIX_HIGH,3038,1.25,1,61.13,INSTITUTIONAL,,,,,61.13
MOMENTUM|BEAR|VOLATILE|SIDEWAYS|VIX_HIGH,565,1.89,1,60.88,INSTITUTIONAL,60.88,,,,
PANIC|SIDEWAYS|NORMAL|SIDEWAYS|VIX_HIGH,786,1.32,1,60.69,INSTITUTIONAL,,,,,60.69
OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED,1950,1.14,1,60.67,INSTITUTIONAL,,60.67,,,
NONE|BULL|NORMAL|BULL|VIX_HIGH,2253,1.49,1,60.1,INSTITUTIONAL,,60.1,,,
MOMENTUM|SIDEWAYS|NORMAL|SIDEWAYS|VIX_ELEVATED,844,0.91,1,59.95,INSTITUTIONAL,,,,,59.95
MOMENTUM|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_HIGH,1303,1.42,1,59.94,INSTITUTIONAL,,,,,59.94
NONE|SIDEWAYS|NORMAL|SIDEWAYS|VIX_ELEVATED,4850,0.95,1,59.77,INSTITUTIONAL,,,,,59.77
PANIC|BULL|NORMAL|SIDEWAYS|VIX_ELEVATED,515,1.21,1,59.61,INSTITUTIONAL,,59.61,,,
NONE|SIDEWAYS|NORMAL|BEAR|VIX_HIGH,991,0.69,1,59.03,INSTITUTIONAL,,,,,59.03
MOMENTUM|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_ELEVATED,1484,1.1,1,58.49,INSTITUTIONAL,,,,,58.49
NONE|SIDEWAYS|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,533,1.5,1,58.35,INSTITUTIONAL,,,,,58.35
MOMENTUM|BULL|NORMAL|SIDEWAYS|VIX_ELEVATED,668,0.94,1,57.93,INSTITUTIONAL,,57.93,,,
NONE|BULL|NORMAL|SIDEWAYS|VIX_ELEVATED,3733,0.86,1,57.86,INSTITUTIONAL,,57.86,,,
PANIC|BULL|VOLATILE|SIDEWAYS|VIX_HIGH,686,0.9,1,57.58,INSTITUTIONAL,,57.58,,,
NONE|BULL|NORMAL|SIDEWAYS|VIX_LOW,1201,0.47,1,57.54,INSTITUTIONAL,,57.54,,,
MOMENTUM|BULL|VOLATILE|BULL|VIX_HIGH,1077,2.08,1,57.38,INSTITUTIONAL,,57.38,,,
NONE|BULL|NORMAL|SIDEWAYS|VIX_HIGH,2116,1.02,1,57.09,INSTITUTIONAL,,57.09,,,
OVERBOUGHT|BULL|NORMAL|SIDEWAYS|VIX_ELEVATED,527,0.67,1,56.93,INSTITUTIONAL,,56.93,,,
MOMENTUM|BULL|VOLATILE|SIDEWAYS|VIX_ELEVATED,1166,1.09,1,56.86,INSTITUTIONAL,,56.86,,,
NONE|BEAR|NORMAL|BEAR|VIX_HIGH,1036,0.84,1,56.85,INSTITUTIONAL,56.85,,,,
PANIC|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_HIGH,1938,0.8,1,56.81,INSTITUTIONAL,,,,,56.81
NONE|INSUFFICIENT_HISTORY|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_HIGH,2192,0.48,1,56.75,INSTITUTIONAL,,,,56.75,
PANIC|SIDEWAYS|NORMAL|SIDEWAYS|VIX_ELEVATED,905,0.99,1,56.69,INSTITUTIONAL,,,,,56.69
PANIC|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_ELEVATED,1632,0.93,1,56.68,INSTITUTIONAL,,,,,56.68
NONE|BULL|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,524,1.65,1,56.68,INSTITUTIONAL,,56.68,,,
NONE|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_HIGH,656,1.56,1,56.55,INSTITUTIONAL,,,56.55,,
PANIC|BULL|VOLATILE|SIDEWAYS|VIX_ELEVATED,661,0.85,1,56.43,INSTITUTIONAL,,56.43,,,
OVERBOUGHT|SIDEWAYS|NORMAL|BULL|VIX_LOW,1008,0.34,1,56.05,INSTITUTIONAL,,,,,56.05
MOMENTUM|BULL|VOLATILE|SIDEWAYS|VIX_HIGH,839,1.05,1,56.02,INSTITUTIONAL,,56.02,,,
OVERBOUGHT|BULL|NORMAL|BULL|VIX_LOW,4174,0.49,1,56.01,INSTITUTIONAL,,56.01,,,
PANIC|BULL|NORMAL|BULL|VIX_LOW,1596,0.89,1,55.89,INSTITUTIONAL,,55.89,,,
NONE|BEAR|NORMAL|SIDEWAYS|VIX_HIGH,1492,0.82,1,55.76,INSTITUTIONAL,55.76,,,,
MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,2937,0.96,1,55.57,INSTITUTIONAL,,55.57,,,
