Pattern,Stocks,ChangeType,AlphaRank,AlphaScore,WinRate,Trades,EvidenceLevel,Reason,SuggestedAction
MOMENTUM|BEAR|VOLATILE|BEAR|VIX_EXTREME,,SCORE_JUMP,19,20.3792,67.38,187.0,MODERATE,Strong win rate; Moderate sample size,Needs more validation
MOMENTUM|HIGH_VOLATILITY|NORMAL|BEAR|VIX_HIGH,,SCORE_JUMP,11,27.6457,63.27,49.0,WEAK,Strong win rate,Treat cautiously
MOMENTUM|HIGH_VOLATILITY|NORMAL|BULL|VIX_LOW,,SCORE_JUMP,16,22.2814,52.59,232.0,MODERATE,Positive win rate; Moderate sample size,Needs more validation
MOMENTUM|HIGH_VOLATILITY|VOLATILE|BULL|VIX_LOW,,SCORE_JUMP,4,64.5637,50.49,1331.0,STRONG,High alpha score; Positive win rate; Very large sample size,Treat cautiously
MOMENTUM|INSUFFICIENT_HISTORY|VOLATILE|BULL|VIX_LOW,,SCORE_JUMP,7,35.6737,52.38,42.0,WEAK,Positive win rate,Treat cautiously
OVERBOUGHT|HIGH_VOLATILITY|NORMAL|BULL|VIX_HIGH,,SCORE_JUMP,5,52.423,69.39,49.0,WEAK,High alpha score; Strong win rate,Treat cautiously
OVERBOUGHT|SIDEWAYS|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,,SCORE_JUMP,17,21.7033,63.33,30.0,WEAK,Strong win rate,Treat cautiously
OVERSOLD|BEAR|NORMAL|BEAR|VIX_EXTREME,,SCORE_JUMP,6,46.251,96.43,28.0,WEAK,Strong win rate,Treat cautiously
OVERSOLD|BEAR|NORMAL|SIDEWAYS|VIX_EXTREME,,SCORE_JUMP,15,25.1223,65.38,26.0,WEAK,Strong win rate,Treat cautiously
OVERSOLD|HIGH_VOLATILITY|NORMAL|BULL|VIX_ELEVATED,,SCORE_JUMP,18,20.8206,52.27,44.0,WEAK,Positive win rate,Treat cautiously
OVERSOLD|HIGH_VOLATILITY|NORMAL|BULL|VIX_LOW,,SCORE_JUMP,13,27.1887,66.07,56.0,WEAK,Strong win rate,Treat cautiously
OVERSOLD|SIDEWAYS|NORMAL|SIDEWAYS|VIX_EXTREME,,SCORE_JUMP,8,34.5658,73.61,72.0,WEAK,Strong win rate,Treat cautiously
PANIC|BEAR|VOLATILE|BEAR|VIX_EXTREME,,SCORE_JUMP,3,67.8185,69.47,321.0,MODERATE,High alpha score; Strong win rate; Moderate sample size,Needs more validation
PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,,SCORE_JUMP,10,28.4651,50.09,1114.0,STRONG,Positive win rate; Very large sample size,Treat cautiously
PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_HIGH,,SCORE_JUMP,12,27.4313,53.39,457.0,MODERATE,Positive win rate; Moderate sample size,Needs more validation
PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_LOW,,SCORE_JUMP,1,168.5787,57.13,1297.0,STRONG,Exceptional alpha score; Positive win rate; Very large sample size,Monitor closely
PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,,SCORE_JUMP,2,88.9873,63.13,697.0,STRONG,High alpha score; Strong win rate; Large sample size,Monitor closely
PANIC|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_EXTREME,,SCORE_JUMP,9,34.2259,58.07,322.0,MODERATE,Positive win rate; Moderate sample size,Needs more validation
PANIC|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_LOW,,SCORE_JUMP,20,19.8205,46.88,128.0,MODERATE,Moderate sample size,Needs more validation
PANIC|SIDEWAYS|VOLATILE|HIGH_VOL|VIX_EXTREME,,RANK_IMPROVED,14,25.173,51.05,143.0,MODERATE,Positive win rate; Moderate sample size,Needs more validation
PANIC|SIDEWAYS|VOLATILE|HIGH_VOL|VIX_EXTREME,,SCORE_JUMP,14,25.173,51.05,143.0,MODERATE,Positive win rate; Moderate sample size,Needs more validation
