Ticker,CrossAssetPattern,Appearances,AvgReturn10D,WinRate,TickerPatternScore
AAPL,OVERBOUGHT|HIGH_VOLATILITY|NORMAL|BULL|VIX_HIGH,4,12.72,100.0,227.2
AAPL,PANIC|BEAR|NORMAL|BEAR|VIX_EXTREME,1,9.61,100.0,196.1
AAPL,OVERBOUGHT|BULL|NORMAL|SIDEWAYS|VIX_EXTREME,1,8.82,100.0,188.2
AAPL,NONE|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_ELEVATED,5,8.76,100.0,187.6
AAPL,NONE|BEAR|NORMAL|SIDEWAYS|VIX_LOW,1,8.46,100.0,184.6
AAPL,MOMENTUM|BEAR|NORMAL|BEAR|VIX_EXTREME,1,7.6,100.0,176.0
AAPL,MOMENTUM|HIGH_VOLATILITY|NORMAL|BEAR|VIX_ELEVATED,1,7.42,100.0,174.2
AAPL,MOMENTUM|BULL|NORMAL|HIGH_VOL|VIX_EXTREME,2,7.39,100.0,173.9
AAPL,OVERSOLD|SIDEWAYS|NORMAL|SIDEWAYS|VIX_EXTREME,3,6.73,100.0,167.3
AAPL,NONE|SIDEWAYS|NORMAL|HIGH_VOL|VIX_EXTREME,1,6.54,100.0,165.4
AAPL,NONE|HIGH_VOLATILITY|NORMAL|HIGH_VOL|VIX_EXTREME,9,6.26,100.0,162.6
AAPL,PANIC|BULL|VOLATILE|HIGH_VOL|VIX_EXTREME,5,6.23,100.0,162.3
AAPL,PANIC|HIGH_VOLATILITY|VOLATILE|BEAR|VIX_HIGH,2,6.2,100.0,162.0
AAPL,PANIC|BULL|NORMAL|BULL|VIX_EXTREME,1,5.75,100.0,157.5
AAPL,MOMENTUM|BEAR|VOLATILE|SIDEWAYS|VIX_ELEVATED,8,5.22,100.0,152.2
AAPL,PANIC|BEAR|VOLATILE|BEAR|VIX_EXTREME,8,5.17,100.0,151.7
AAPL,PANIC|SIDEWAYS|VOLATILE|HIGH_VOL|VIX_EXTREME,1,5.06,100.0,150.6
AAPL,OVERBOUGHT|SIDEWAYS|NORMAL|BEAR|VIX_HIGH,1,4.79,100.0,147.9
