Pattern,Trades,AvgReturn5D,AvgReturn10D,WinRate5D,WinRate10D,EstimatedStd,PValue,ValidationStatus,QualityTrades,UniqueTickers,TopTicker,TopTickerPct,ConfidenceScore,TrustLevel,TrustRank
OVERBOUGHT|BULL|NORMAL|BULL|VIX_ELEVATED,1954.0,0.373,1.14,55.48,60.54,5.0,0.0,VALIDATED,1954.0,53.0,QQQ,5.83,96.05,INSTITUTIONAL,5
MOMENTUM|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_HIGH,1303.0,0.35,1.423,54.18,59.94,5.0,0.0,VALIDATED,1303.0,56.0,NMDC,4.53,95.99,INSTITUTIONAL,5
MOMENTUM|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_ELEVATED,1484.0,0.801,1.102,56.74,58.49,5.0,0.0,VALIDATED,1484.0,55.0,AMZN,3.64,95.85,INSTITUTIONAL,5
MOMENTUM|BULL|VOLATILE|BULL|VIX_HIGH,1078.0,1.115,2.085,58.35,57.33,5.0,0.0,VALIDATED,1078.0,52.0,NVDA,3.9,95.73,INSTITUTIONAL,5
MOMENTUM|BULL|VOLATILE|SIDEWAYS|VIX_ELEVATED,1166.0,0.664,1.092,56.43,56.86,5.0,0.0,VALIDATED,1166.0,50.0,V,3.69,95.69,INSTITUTIONAL,5
PANIC|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_HIGH,1938.0,0.491,0.804,57.59,56.81,5.0,0.0,VALIDATED,1938.0,55.0,QQQ,4.39,95.68,INSTITUTIONAL,5
PANIC|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_ELEVATED,1632.0,0.711,0.935,55.82,56.68,5.0,0.0,VALIDATED,1632.0,54.0,AMD,3.55,95.67,INSTITUTIONAL,5
OVERBOUGHT|BULL|NORMAL|BULL|VIX_LOW,4174.0,0.206,0.486,53.64,56.01,5.0,0.0,VALIDATED,4174.0,54.0,QQQ,7.28,95.6,INSTITUTIONAL,5
PANIC|BULL|NORMAL|BULL|VIX_LOW,1596.0,0.605,0.888,56.45,55.89,5.0,0.0,VALIDATED,1596.0,53.0,BAC,3.76,95.59,INSTITUTIONAL,5
MOMENTUM|BULL|VOLATILE|BULL|VIX_ELEVATED,2968.0,0.425,0.965,52.29,54.99,5.0,0.0,VALIDATED,2968.0,53.0,NVDA,4.38,95.5,INSTITUTIONAL,5
MOMENTUM|BULL|NORMAL|BULL|VIX_ELEVATED,1770.0,0.079,0.56,52.15,54.92,5.0,2e-06,VALIDATED,1770.0,53.0,QQQ,4.41,95.49,INSTITUTIONAL,5
MOMENTUM|BULL|NORMAL|BULL|VIX_LOW,2697.0,0.314,0.559,52.5,54.06,5.0,0.0,VALIDATED,2697.0,54.0,QQQ,4.12,95.41,INSTITUTIONAL,5
MOMENTUM|BULL|VOLATILE|BULL|VIX_LOW,4026.0,0.586,1.071,53.1,53.9,5.0,0.0,VALIDATED,4026.0,55.0,NVDA,4.77,95.39,INSTITUTIONAL,5
MOMENTUM|SIDEWAYS|VOLATILE|BULL|VIX_LOW,2339.0,0.333,0.586,51.56,53.66,5.0,0.0,VALIDATED,2339.0,54.0,SBIN,4.66,95.37,INSTITUTIONAL,5
MOMENTUM|SIDEWAYS|NORMAL|BULL|VIX_LOW,1447.0,0.195,0.509,52.32,53.56,5.0,0.000108,VALIDATED,1447.0,52.0,USO,4.91,95.35,INSTITUTIONAL,5
PANIC|BULL|VOLATILE|BULL|VIX_ELEVATED,1478.0,0.111,0.772,49.19,53.25,5.0,0.0,VALIDATED,1478.0,54.0,NVDA,4.53,95.33,INSTITUTIONAL,5
MOMENTUM|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_HIGH,1236.0,0.049,1.337,50.16,53.24,5.0,0.0,VALIDATED,1236.0,48.0,^VIX,15.7,95.32,INSTITUTIONAL,5
PANIC|BULL|VOLATILE|BULL|VIX_LOW,1768.0,0.308,0.958,53.17,53.05,5.0,0.0,VALIDATED,1768.0,54.0,NVDA,4.98,95.31,INSTITUTIONAL,5
PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_LOW,2005.0,2.065,3.227,54.31,52.52,6.454,0.0,VALIDATED,2005.0,34.0,^VIX,27.48,95.25,INSTITUTIONAL,5
PANIC|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_ELEVATED,1023.0,0.584,1.255,51.03,52.3,5.0,0.0,VALIDATED,1023.0,39.0,^VIX,23.46,95.23,INSTITUTIONAL,5
PANIC|SIDEWAYS|VOLATILE|BULL|VIX_LOW,2094.0,0.37,0.561,52.67,52.1,5.0,0.0,VALIDATED,2094.0,54.0,SBIN,4.54,95.21,INSTITUTIONAL,5
PANIC|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_HIGH,1216.0,0.477,0.587,50.66,51.97,5.0,4.2e-05,VALIDATED,1216.0,46.0,^VIX,13.49,95.2,INSTITUTIONAL,5
MOMENTUM|HIGH_VOLATILITY|VOLATILE|BULL|VIX_LOW,2085.0,1.43,2.616,49.3,50.98,5.232,0.0,VALIDATED,2085.0,35.0,^VIX,17.75,95.1,INSTITUTIONAL,5
MOMENTUM|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_ELEVATED,1066.0,0.755,0.719,50.75,50.38,5.0,3e-06,VALIDATED,1066.0,41.0,^VIX,19.7,95.04,INSTITUTIONAL,5
PANIC|BULL|NORMAL|BULL|VIX_ELEVATED,1174.0,0.266,0.477,52.13,50.26,5.0,0.00108,VALIDATED,1174.0,53.0,JPM,4.34,95.0,INSTITUTIONAL,5
PANIC|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,858.0,1.786,4.129,60.84,68.18,8.258,0.0,VALIDATED,858.0,53.0,^VIX,4.66,96.82,HIGH,4
PANIC|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_EXTREME,531.0,1.547,1.44,64.22,65.54,5.0,0.0,VALIDATED,531.0,52.0,SPY,5.27,96.55,HIGH,4
PANIC|SIDEWAYS|VOLATILE|BULL|VIX_HIGH,717.0,1.05,2.019,58.3,62.2,5.0,0.0,VALIDATED,717.0,53.0,AMZN,4.46,96.22,HIGH,4
OVERSOLD|SIDEWAYS|NORMAL|SIDEWAYS|VIX_ELEVATED,524.0,0.71,1.416,62.4,62.21,5.0,0.0,VALIDATED,524.0,51.0,HD,8.59,96.22,HIGH,4
PANIC|BULL|VOLATILE|BULL|VIX_HIGH,683.0,1.088,2.457,57.69,62.08,5.0,0.0,VALIDATED,683.0,53.0,AAPL,4.25,96.21,HIGH,4
MOMENTUM|SIDEWAYS|NORMAL|SIDEWAYS|VIX_HIGH,678.0,0.401,1.181,57.08,61.65,5.0,0.0,VALIDATED,678.0,54.0,SPY,6.05,96.16,HIGH,4
MOMENTUM|HIGH_VOLATILITY|VOLATILE|HIGH_VOL|VIX_EXTREME,917.0,0.839,2.377,51.8,61.29,5.0,0.0,VALIDATED,917.0,53.0,NVDA,3.82,96.13,HIGH,4
MOMENTUM|BEAR|VOLATILE|SIDEWAYS|VIX_HIGH,565.0,0.53,1.888,55.04,60.88,5.0,0.0,VALIDATED,565.0,53.0,SUZLON,4.78,96.09,HIGH,4
PANIC|SIDEWAYS|NORMAL|SIDEWAYS|VIX_HIGH,786.0,0.942,1.322,63.1,60.69,5.0,0.0,VALIDATED,786.0,53.0,SPY,6.62,96.07,HIGH,4
MOMENTUM|SIDEWAYS|NORMAL|SIDEWAYS|VIX_ELEVATED,844.0,0.695,0.906,60.19,59.95,5.0,0.0,VALIDATED,844.0,54.0,SPY,5.45,96.0,HIGH,4
PANIC|BULL|NORMAL|SIDEWAYS|VIX_ELEVATED,515.0,0.488,1.208,57.09,59.61,5.0,0.0,VALIDATED,515.0,50.0,V,6.41,95.96,HIGH,4
MOMENTUM|BULL|NORMAL|SIDEWAYS|VIX_ELEVATED,668.0,0.409,0.942,56.14,57.93,5.0,1e-06,VALIDATED,668.0,50.0,MCD,4.34,95.79,HIGH,4
