Ticker,TotalRows,ValidCloseRows,MissingCloseRows,MissingPct,FirstDate,LastDate,Years,QualityScore,Status,Reason
AAPL,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
AMD,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
AMZN,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
BAC,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
BEL,4064,4064,0,0.0,2010-01-04,2026-06-18,16.45,100,PASS,Enough valid history
BHARTIARTL,4064,4064,0,0.0,2010-01-04,2026-06-18,16.45,100,PASS,Enough valid history
BSE,2316,2316,0,0.0,2017-02-03,2026-06-18,9.37,100,PASS,Enough valid history
BTC-USD,4292,4292,0,0.0,2014-09-17,2026-06-18,11.75,100,PASS,Enough valid history
CDSL,2217,2217,0,0.0,2017-06-30,2026-06-18,8.97,100,PASS,Enough valid history
COCHINSHIP,2187,2187,0,0.0,2017-08-11,2026-06-18,8.85,100,PASS,Enough valid history
COP,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
COST,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
CVX,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
DBC,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
ETH-USD,3143,3143,0,0.0,2017-11-09,2026-06-18,8.61,100,PASS,Enough valid history
GDX,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
GLD,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
GS,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
HAL,2031,2031,0,0.0,2018-04-02,2026-06-18,8.21,100,PASS,Enough valid history
HD,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
HDFCBANK,4064,4064,0,0.0,2010-01-04,2026-06-18,16.45,100,PASS,Enough valid history
ICICIBANK,4064,4064,0,0.0,2010-01-04,2026-06-18,16.45,100,PASS,Enough valid history
IDEA,4064,4064,0,0.0,2010-01-04,2026-06-18,16.45,100,PASS,Enough valid history
INFY,4064,4064,0,0.0,2010-01-04,2026-06-18,16.45,100,PASS,Enough valid history
IRDM,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
IREDA,632,632,0,0.0,2023-11-29,2026-06-18,2.55,80,PASS,Enough valid history
IRFC,1332,1332,0,0.0,2021-01-29,2026-06-18,5.38,100,PASS,Enough valid history
JPM,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
KPITTECH,1772,1772,0,0.0,2019-04-22,2026-06-18,7.16,100,PASS,Enough valid history
LMT,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
LT,4064,4064,0,0.0,2010-01-04,2026-06-18,16.45,100,PASS,Enough valid history
MA,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
MCD,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
MSFT,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
NMDC,4064,4064,0,0.0,2010-01-04,2026-06-18,16.45,100,PASS,Enough valid history
NOC,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
NVDA,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
PERSISTENT,4003,4003,0,0.0,2010-04-06,2026-06-18,16.2,100,PASS,Enough valid history
QQQ,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
RELIANCE,4064,4064,0,0.0,2010-01-04,2026-06-18,16.45,100,PASS,Enough valid history
RKLB,1396,1396,0,0.0,2020-11-24,2026-06-17,5.56,100,PASS,Enough valid history
RTX,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
RVNL,1777,1777,0,0.0,2019-04-11,2026-06-18,7.19,100,PASS,Enough valid history
SAIL,4064,4064,0,0.0,2010-01-04,2026-06-18,16.45,100,PASS,Enough valid history
SBIN,4064,4064,0,0.0,2010-01-04,2026-06-18,16.45,100,PASS,Enough valid history
SLV,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
SPY,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
SUZLON,4064,4064,0,0.0,2010-01-04,2026-06-18,16.45,100,PASS,Enough valid history
TCS,4064,4064,0,0.0,2010-01-04,2026-06-18,16.45,100,PASS,Enough valid history
TSLA,4017,4017,0,0.0,2010-06-29,2026-06-17,15.97,100,PASS,Enough valid history
USO,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
V,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
WMT,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
XOM,4139,4139,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
YESBANK,4064,4064,0,0.0,2010-01-04,2026-06-18,16.45,100,PASS,Enough valid history
^VIX,4140,4140,0,0.0,2010-01-04,2026-06-17,16.45,100,PASS,Enough valid history
