PrimarySignal,Trades,WinRate5D,AvgReturn5D,WinRate10D,AvgReturn10D,Period,TrainEndYear,TestYear,Status
OVERSOLD,345,52.46,0.146,55.94,0.245,TEST,2012,2013,VALID
NONE,5252,55.39,0.334,55.6,0.624,TEST,2012,2013,VALID
PANIC,2359,54.77,0.584,54.56,0.847,TEST,2012,2013,WEAK
MOMENTUM,2538,51.42,0.253,53.98,0.866,TEST,2012,2013,WEAK
OVERBOUGHT,786,50.25,0.219,53.31,0.358,TEST,2012,2013,WEAK
OVERBOUGHT,1801,53.97,0.207,60.86,0.771,TRAIN,2012,2013,VALID
NONE,14420,54.4,0.206,54.95,0.384,TRAIN,2012,2013,WEAK
PANIC,8128,52.56,0.346,53.01,0.364,TRAIN,2012,2013,WEAK
MOMENTUM,8380,50.93,-0.06,52.85,0.137,TRAIN,2012,2013,WEAK
OVERSOLD,823,51.15,0.324,51.52,0.511,TRAIN,2012,2013,WEAK
PANIC,2318,54.49,0.603,54.53,1.069,TEST,2013,2014,WEAK
MOMENTUM,2469,53.75,0.594,53.71,0.98,TEST,2013,2014,WEAK
NONE,5328,52.42,0.217,53.0,0.563,TEST,2013,2014,WEAK
OVERBOUGHT,864,51.16,0.149,52.08,0.398,TEST,2013,2014,WEAK
OVERSOLD,347,54.76,0.286,50.72,0.399,TEST,2013,2014,WEAK
OVERBOUGHT,2587,52.84,0.211,58.56,0.646,TRAIN,2013,2014,VALID
NONE,19672,54.66,0.24,55.12,0.448,TRAIN,2013,2014,VALID
PANIC,10487,53.06,0.4,53.36,0.473,TRAIN,2013,2014,WEAK
MOMENTUM,10918,51.04,0.013,53.11,0.307,TRAIN,2013,2014,WEAK
OVERSOLD,1168,51.54,0.271,52.83,0.433,TRAIN,2013,2014,WEAK
PANIC,2804,54.14,0.472,52.43,0.572,TEST,2014,2015,WEAK
OVERBOUGHT,385,45.97,-0.373,51.17,0.212,TEST,2014,2015,WEAK
MOMENTUM,2808,48.5,0.077,48.61,-0.001,TEST,2014,2015,WEAK
NONE,5250,47.5,-0.114,46.91,-0.189,TEST,2014,2015,WEAK
OVERSOLD,368,50.0,0.007,45.38,-0.344,TEST,2014,2015,WEAK
OVERBOUGHT,3451,52.42,0.196,56.94,0.584,TRAIN,2014,2015,VALID
NONE,25000,54.18,0.235,54.67,0.473,TRAIN,2014,2015,WEAK
PANIC,12805,53.32,0.436,53.57,0.581,TRAIN,2014,2015,WEAK
MOMENTUM,13387,51.54,0.12,53.22,0.431,TRAIN,2014,2015,WEAK
OVERSOLD,1515,52.28,0.275,52.34,0.425,TRAIN,2014,2015,WEAK
OVERSOLD,302,64.24,1.23,69.21,1.908,TEST,2015,2016,VALID
OVERBOUGHT,709,50.21,0.171,57.4,0.628,TEST,2015,2016,VALID
PANIC,2515,56.26,0.702,57.38,1.282,TEST,2015,2016,VALID
MOMENTUM,2721,52.19,0.413,57.11,1.065,TEST,2015,2016,VALID
NONE,5369,54.24,0.363,56.68,0.794,TEST,2015,2016,VALID
OVERBOUGHT,3836,51.77,0.138,56.36,0.546,TRAIN,2015,2016,VALID
PANIC,15609,53.46,0.443,53.37,0.579,TRAIN,2015,2016,WEAK
NONE,30250,53.02,0.175,53.33,0.358,TRAIN,2015,2016,WEAK
MOMENTUM,16195,51.02,0.113,52.42,0.356,TRAIN,2015,2016,WEAK
OVERSOLD,1883,51.83,0.222,50.98,0.275,TRAIN,2015,2016,WEAK
